product_name,price,metadata,product_id,image_download
Penny Blazer | White,124.95,"The Penny Blazer features a v neckline, button up front, half sleeve and loose fitting silhouette.",1573772104,OK
Tillie Dress | Navy,99.95,SALE ITEM,1573772279,OK
Deena Pants | Steel,99.95,"The Deena Pants feature a high-waisted silhouette, two side pockets, cropped ankle and front button closure.",1573770646,OK
Deena Pants | White,99.95,SALE ITEM,1573770732,OK
Shae Dress | Steel,109.95,"The Shae Dress features a t-shirt sleeve, deep v neckline, wrap up closure and tie up waist.",1573772198,OK
Hailey Dress | White,89.95,"The Hailey Dress features a cross back, two side pockets and tie up waist.",1574028907,OK
Hailey Dress | Indigo,89.95,"The Hailey Dress features a cross back, two side pockets and tie up waist.",1573770809,OK
Hailey Pantsuit | White,114.95,"The Hailey Pantsuit features a cross back, two side pockets and tie up waist.",1574028939,OK
Becca Dress | Khaki,99.95,,1573599496,OK
Becca Dress | White Spot,99.95,"The Becca Dress features a v neckline with button detailing down the front, buttons on the puff sleeves and fluted skirt hemline.",1573599665,OK
Atlas Shorts | Black,94.95,"The Atlas Shorts feature a adjustable belt buckle, two side pockets and a high-waisted silhouette.",1573537207,OK
Atlas Shorts | White,94.95,"The Atlas Shorts feature a adjustable belt buckle, two side pockets and a high-waisted silhouette.",1573537397,OK
Bronte Dress | White,114.95,SALE ITEM,1573597844,OK
Carter Crop | Khaki,84.95,SALE ITEM,1573538112,OK
Carter Crop | White Spot,84.95,The Carter Crop features an elasticated half sleeve and tie up feature which can be worn multiple ways.,1573538196,OK
Farah Skirt | White Spot,84.95,"The Farah Skirt features a tortoise shell belt buckle, high-waisted silhouette and invisible zip closure.",1573538641,OK
Farah Skirt | Khaki,84.95,"The Farah Skirt features a tortoise shell belt buckle, high-waisted silhouette and invisible zip closure.",1573538545,OK
Dayle Pants | Black,109.95,"The Dayle Pants feature a high-waisted silhouette, tortoise shell buckle and two side pockets.",1573538293,OK
Dayle Pants | Khaki,109.95,"The Dayle Pants feature a high-waisted silhouette, tortoise shell buckle and two side pockets.",1573538370,OK
Melody Dress | White Spot,124.95,"The Melody Dress features two front splits, tie up waist and v-neckline.",1573597071,OK
Gia Playsuit | White,124.95,"The Gia Playsuit features a deep v neckline, press stud closure, an adjustable belt at waist and two side pockets.",1573596271,OK
Gia Playsuit | Khaki,124.95,"The Gia Playsuit features a deep v neckline, press stud closure, an adjustable belt at waist and two side pockets.",1573538872,OK
Brooklyn Shirt | White,124.95,"The Brooklyn Shirt features a deep v neckline, gold buttons throughout and tabs on the sleeve allowing you to roll them up.",1573538004,OK
Brooklyn Shirt | Stone,124.95,"The Brooklyn Shirt features a deep v neckline, gold buttons throughout and tabs on the sleeve allowing you to roll them up.",1573537907,OK
Brooklyn Shirt | Brick,124.95,SALE ITEM,1573537706,OK
Larsen Dress | Salmon,99.95,"The Larsen Dress features a straight neckline, two front pockets, adjustable shoulder straps, two side splits and midi in length.",1573597191,OK
Spencer Playsuit | Salmon,154.95,"The Spencer Playsuit features a tailored silhouette, gold buttons throughout and two side pockets. With the appearance of a dress, with hidden shorts- this playsuit is not only stylish but comfortable!",1573597685,OK
Spencer Playsuit | Sand,154.95,"The Spencer Playsuit features a tailored silhouette, gold buttons throughout and two side pockets. With the appearance of a dress, with hidden shorts- this playsuit is not only stylish but comfortable!",1573597773,OK
Miguel Shorts | Pistachio,84.95,"The Miguel Shorts feature an elasticated waistband, gold button detailing throughout and two front pockets. With an overlay piece- these shorts give you a skirt feel.",1573597314,OK
Miguel Shorts | Sand,84.95,"The Miguel Shorts feature an elasticated waistband, gold button detailing throughout and two front pockets. With an overlay piece- these shorts give you a skirt feel.",1573597422,OK
Kimber Pants | Pistachio,99.95,"The Kimber Pants feature a high-waisted silhouette, two front pockets and an elasticated ankle.",1573596739,OK
Kimber Pants | Sand,99.95,"The Kimber Pants feature a high-waisted silhouette, two front pockets and an elasticated ankle.",1573596884,OK
Sierra Dress | White,109.95,"The Sierra Dress features a v neckline, frill sleeves, gathering at the waist with uneven stitching. This is the prefect summer time dress.",1573597619,OK
Sierra Dress | Pistachio,109.95,,1573597534,OK
Kenzie Playsuit | White,109.95,"The Kenzie Playsuit features buttons down the front, two front pockets, arm tabs and a v neckline.",1573596601,OK
Kenzie Playsuit | Pistachio,109.95,"The Kenzie Playsuit features buttons down the front, two front pockets, arm tabs and a v neckline.",1573596499,OK
St Tropez Blazer | Coffee,144.95,The perfect linen blended has arrived. The St Tropez Blazer features two front pockets and contrast button detailing.,1572500536,OK
St Tropez Blazer | Peach,144.95,The perfect linen blended has arrived. The St Tropez Blazer features two front pockets and contrast button detailing.,1572565022,OK
St Tropez Blazer | Spice,144.95,The perfect linen blended has arrived. The St Tropez Blazer features two front pockets and contrast button detailing.,1572500521,OK
Amy Satin Cami | Black,59.95,Introducing the Amy Satin Cami. Featuring thin shoulder straps and a sheen finish- this cami will be your go to this Summer.,1572500759,OK
Amy Satin Cami | Champagne,59.95,Introducing the Amy Satin Cami. Featuring thin shoulder straps and a sheen finish- this cami will be your go to this Summer.,1572565065,OK
Jordan Denim Skirt | Denim,69.95,"Looking for the perfect Denim Skirt? The Jordan Skirt is finally here! Features loop detailing at the rear, a frayed hemline and denim wash.",1572501351,OK
Ravyn Cami | White,64.95,"The perfect staple has arrived. The Ravyn Cami features a lightweight fabric with a straight cut bust line, thin adjustable shoulder straps and cross over hemline. Available in three beautiful colours- you'll want them all!",1571367346,OK
Ravyn Cami | Brick,64.95,"The perfect staple has arrived. The Ravyn Cami features a lightweight fabric with a straight cut bust line, thin adjustable shoulder straps and cross over hemline. Available in three beautiful colours- you'll want them all!",1571369226,OK
Ravyn Cami | Stone,64.95,"The perfect staple has arrived. The Ravyn Cami features a lightweight fabric with a straight cut bust line, thin adjustable shoulder straps and cross over hemline. Available in three beautiful colours- you'll want them all!",1571369362,OK
Mason Dress | Stone,79.95,"The perfect staple dress has arrived. The Mason Dress features a lightweight fabric with a straight cut bust line, thin adjustable shoulder straps and cross over hemline.",1571369734,OK
Mason Dress | White,79.95,"The perfect staple dress has arrived. The Mason Dress features a lightweight fabric with a straight cut bust line, thin adjustable shoulder straps and cross over hemline.",1571369842,OK
Montana Tee | White,59.95,"The Montana Tee features rope detailing in the shape of a woman's face, capped t-shit sleeve and a soft cotton ribbed fabrication. Your perfect basic with a twist.",1571370155,OK
Livvy Dress | White,89.95,"The Livvy Dress features a v shaped neckline, capped t-shirt sleeve, buttons down the front and an uneven hemline.",1570403248,OK
Hollie Shirt | White,74.95,"The Hollie Shirt features a v shaped neckline, capped sleeves, buttons down the front and two little side splits. Perfect for every occasion.",1570404253,OK
Ainsley Dress | White,169.95,"The Ainsley Dress features a deep v neckline, elasticated fluted sleeves, feature wicker belt and soft lace fabrication.",1571379921,OK
Ainsley Crop | Black,89.95,SALE ITEM,1572216551,OK
Ainsley Crop | White,89.95,"The Ainsley Crop features a sweetheart bust, elasticated arm inserts, back zip closure and soft lace fabrication.",1571380330,OK
Ainsley Pants | Black,129.95,"The Ainsley Pants feature a high waisted silhouette, wicker belt buckle, subtle wide leg and soft lace fabrication.",1571380064,OK
Ainsley Pants | White,129.95,"The Ainsley Pants feature a high waisted silhouette, wicker belt buckle, subtle wide leg and soft lace fabrication.",1571380243,OK
Kelsey Midi Dress | Primrose,119.95,"The Kelsey Midi Dress features a sweet heart bust, thick shoulder straps, midi length and a linen cotton blended fabrication.",1571379310,OK
Kelsey Midi Dress | Black,119.95,"The Kelsey Midi Dress features a sweet heart bust, thick shoulder straps, midi length and a linen cotton blended fabrication.",1571379229,OK
Eboni Pantsuit | White,134.95,"The Eboni Pantsuit features an off shoulder silhouette, tortoise shell buttons down the front and a soft linen blended stripe fabrication.",1571611805,OK
Menzie Top | Beige,99.95,"The Menzie Top features a soft linen blended fabrication, deep v neckline with lapel collar and tortoise shell button feature.",1571380953,OK
Menzie Shorts | Beige,79.95,"The Menzie Shorts features a soft linen blended fabrication, high waisted silhouette and belt loops.",1571373051,OK
Indi Playsuit | White,134.95,"The Indi Playsuit features a v neckline with a lapel collar, tortoise shell buttons down the front and tie up waist.",1571381032,OK
Erika Dress | Primrose,119.95,"The Erika Dress features an off shoulder silhouette, sweet heart bust, elasticated arm inserts and mini length hemline.",1571381137,OK
Casey Skirt | White,79.95,The Casey Skirt features an angled wrap button closure- giving your average denim skirt a bit of a twist.,1575497848,OK
Casey Dress | White,114.95,"The Casey Dress features a super stretchy denim fabric, straight neckline with thick shoulder straps, frill hemline and buttons down the front.",1571381230,OK
